# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Action,story_id,Total Events,Unique Events,Event Value,Avg. Value
chapter_start,UnknownNumber,286,101,286,1.00
chapter_end,UnknownNumber,243,92,243,1.00
chapter_start,WolfenMoon,103,42,103,1.00
chapter_start,DiaryofaDominatrix,92,47,92,1.00
chapter_end,WolfenMoon,90,35,90,1.00
chapter_start,Cupido,83,28,83,1.00
chapter_start,LoveBites,74,35,74,1.00
chapter_end,Cupido,71,23,71,1.00
chapter_start,TattooArtist,71,29,71,1.00
chapter_end,DiaryofaDominatrix,69,26,69,1.00
chapter_end,LoveBites,61,27,61,1.00
UnknownNumber_02_unlockFree,UnknownNumber,58,58,58,1.00
chapter_end,TattooArtist,54,18,54,1.00
UnknownNumber_03_unlockFree,UnknownNumber,50,50,50,1.00
chapter_start,Assassin,49,22,49,1.00
chapter_end,Assassin,44,18,44,1.00
UnknownNumber_04_unlockFree,UnknownNumber,43,43,43,1.00
chapter_start,WhiteBFProblems,42,25,42,1.00
chapter_backToStory,UnknownNumber,41,41,41,1.00
chapter_start,FoundersKeepers,33,13,33,1.00
chapter_end,WhiteBFProblems,31,11,31,1.00
chapter_end,FoundersKeepers,29,11,29,1.00
chapter_start,TheArrangement,28,10,28,1.00
DiaryofaDominatrix_02_unlockFree,DiaryofaDominatrix,26,26,26,1.00
WolfenMoon_02_unlockFree,WolfenMoon,24,24,24,1.00
chapter_end,TheArrangement,23,5,23,1.00
DiaryofaDominatrix_03_unlockFree,DiaryofaDominatrix,22,22,22,1.00
UnknownNumber_05_unlock,UnknownNumber,21,21,21,1.00
chapter_start,KillerinPhone,20,9,20,1.00
chapter_start,Love&Care,20,11,20,1.00
WolfenMoon_03_unlockFree,WolfenMoon,20,19,20,1.00
LoveBites_02_unlockFree,LoveBites,19,18,19,1.00
chapter_start,BeMineAgain,17,7,17,1.00
chapter_end,KillerinPhone,16,4,16,1.00
chapter_end,Love&Care,16,6,16,1.00
TattooArtist_02_unlockFree,TattooArtist,16,15,16,1.00
WolfenMoon_04_unlockFree,WolfenMoon,16,15,16,1.00
chapter_backToStory,WolfenMoon,15,15,15,1.00
chapter_end,BeMineAgain,15,5,15,1.00
chapter_start,BoundToHappen,15,5,15,1.00
UnknownNumber_01_resume,UnknownNumber,15,14,15,1.00
chapter_start,Heartsong,14,6,14,1.00
chapter_end,BoundToHappen,13,6,13,1.00
Cupido_02_unlockFree,Cupido,13,13,13,1.00
chapter_backToStory,Cupido,12,12,12,1.00
chapter_start,HiddenQueen,12,6,12,1.00
chapter_end,SanguinesBounty,11,7,11,1.00
chapter_start,PerfectWish,11,4,11,1.00
chapter_start,SanguinesBounty,11,7,11,1.00
chapter_start,TwinFluencers,11,5,11,1.00
FoundersKeepers_02_unlockFree,FoundersKeepers,11,11,11,1.00
LoveBites_03_unlockFree,LoveBites,11,11,11,1.00
UnknownNumber_07_unlockFree,UnknownNumber,11,10,11,1.00
WhiteBFProblems_03_unlockFree,WhiteBFProblems,11,10,11,1.00
chapter_end,TwinFluencers,10,5,10,1.00
Cupido_03_unlockFree,Cupido,10,10,10,1.00
Cupido_04_unlockFree,Cupido,10,10,10,1.00
DiaryofaDominatrix_01_resume,DiaryofaDominatrix,10,10,10,1.00
FoundersKeepers_03_unlockFree,FoundersKeepers,10,10,10,1.00
LoveBites_04_unlockFree,LoveBites,10,10,10,1.00
TattooArtist_03_unlockFree,TattooArtist,10,9,10,1.00
UnknownNumber_06_unlock,UnknownNumber,10,10,10,1.00
UnknownNumber_06_unlockFree,UnknownNumber,10,10,10,1.00
WhiteBFProblems_01_resume,WhiteBFProblems,10,10,10,1.00
WhiteBFProblems_02_unlockFree,WhiteBFProblems,10,10,10,1.00
WolfenMoon_01_resume,WolfenMoon,10,10,10,1.00
chapter_end,Heartsong,9,2,9,1.00
chapter_end,HiddenQueen,9,5,9,1.00
chapter_end,SpringHarbor,9,1,9,1.00
chapter_start,SpringHarbor,9,1,9,1.00
Cupido_05_unlock,Cupido,9,9,9,1.00
TattooArtist_04_unlockFree,TattooArtist,9,8,9,1.00
TattooArtist_05_unlock,TattooArtist,9,8,9,1.00
TheArrangement_02_unlockFree,TheArrangement,9,9,9,1.00
UnknownNumber_04_resume,UnknownNumber,9,9,9,1.00
WolfenMoon_02_resume,WolfenMoon,9,9,9,1.00
Assassin_02_unlockFree,Assassin,8,8,8,1.00
Assassin_03_unlockFree,Assassin,8,8,8,1.00
chapter_end,PerfectWish,8,2,8,1.00
TattooArtist_01_resume,TattooArtist,8,7,8,1.00
WolfenMoon_05_unlock,WolfenMoon,8,8,8,1.00
WolfenMoon_05_unlockFree,WolfenMoon,8,8,8,1.00
Assassin_04_unlockFree,Assassin,7,7,7,1.00
BeMineAgain_03_unlockFree,BeMineAgain,7,6,7,1.00
Cupido_06_unlock,Cupido,7,7,7,1.00
TheArrangement_03_unlockFree,TheArrangement,7,7,7,1.00
UnknownNumber_02_resume,UnknownNumber,7,7,7,1.00
chapter_backToStory,LoveBites,6,6,6,1.00
Cupido_07_unlock,Cupido,6,6,6,1.00
DiaryofaDominatrix_02_resume,DiaryofaDominatrix,6,5,6,1.00
KillerinPhone_02_unlockFree,KillerinPhone,6,6,6,1.00
TattooArtist_02_resume,TattooArtist,6,6,6,1.00
