# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Action,story_id,Total Events,Unique Events,Event Value,Avg. Value
chapter1_start,UnknownNumber,75,75,75,1.00
UnknownNumber_01_01.00.00_Chat,UnknownNumber,75,75,75,1.00
UnknownNumber_01_01.00.00_EmotionChoice_22,UnknownNumber,73,73,73,1.00
UnknownNumber_01_02.00.00_RW,UnknownNumber,72,72,72,1.00
UnknownNumber_01_02.00.00_FreeChoice_15,UnknownNumber,71,71,71,1.00
UnknownNumber_01_03.00.00_Mail,UnknownNumber,71,71,71,1.00
UnknownNumber_01_04.00.00_Chat,UnknownNumber,70,70,70,1.00
UnknownNumber_01_04.00.00_FreeChoice_04,UnknownNumber,70,70,70,1.00
UnknownNumber_01_05.00.00_Chat,UnknownNumber,69,68,69,1.00
UnknownNumber_01_05.00.00_FreeChoice_24,UnknownNumber,68,68,68,1.00
UnknownNumber_01_06.00.00_RW,UnknownNumber,68,68,68,1.00
UnknownNumber_01_06.00.00_EmotionChoice_12,UnknownNumber,67,67,67,1.00
UnknownNumber_01_07.00.00_Chat,UnknownNumber,65,65,65,1.00
UnknownNumber_01_08.00.00_DatingMatch,UnknownNumber,61,61,61,1.00
UnknownNumber_01_09.00.00_DatingChat,UnknownNumber,61,61,61,1.00
UnknownNumber_01_09.00.00_FreeChoice_03,UnknownNumber,61,61,61,1.00
UnknownNumber_01_10.00.00_Chat,UnknownNumber,61,61,61,1.00
UnknownNumber_01_11.00.00_FreeChoice_13,UnknownNumber,61,61,61,1.00
UnknownNumber_01_11.00.00_RW,UnknownNumber,61,61,61,1.00
chapter1_end,UnknownNumber,60,60,60,1.00
UnknownNumber_01_12.00.00_Chat,UnknownNumber,60,60,60,1.00
chapter2_start,UnknownNumber,58,58,58,1.00
UnknownNumber_02_01.00.00_EmotionChoice_05,UnknownNumber,57,57,57,1.00
UnknownNumber_02_03.00.00_Chat,UnknownNumber,57,57,57,1.00
UnknownNumber_02_01.00.00_Chat,UnknownNumber,56,56,56,1.00
UnknownNumber_02_02.00.00_Mail,UnknownNumber,56,56,56,1.00
UnknownNumber_02_04.00.00_Chat,UnknownNumber,56,56,56,1.00
UnknownNumber_02_06.00.00_DatingMatch,UnknownNumber,56,55,56,1.00
UnknownNumber_02_05.00.00_EmotionChoice_04,UnknownNumber,55,55,55,1.00
UnknownNumber_02_05.00.00_RW,UnknownNumber,55,55,55,1.00
UnknownNumber_02_07.00.00_DatingChat,UnknownNumber,55,55,55,1.00
UnknownNumber_02_07.00.00_FreeChoice_05,UnknownNumber,55,55,55,1.00
UnknownNumber_02_07.00.00_FreeChoice_19,UnknownNumber,55,55,55,1.00
UnknownNumber_02_10.00.00_Chat,UnknownNumber,55,54,55,1.00
UnknownNumber_02_08.00.00_Mail,UnknownNumber,54,54,54,1.00
UnknownNumber_02_09.00.00_Mail,UnknownNumber,53,53,53,1.00
UnknownNumber_02_11.00.00_RW,UnknownNumber,53,53,53,1.00
UnknownNumber_02_12.00.00_FreeChoice_12,UnknownNumber,53,53,53,1.00
UnknownNumber_02_13.01.01_RW,UnknownNumber,53,53,53,1.00
UnknownNumber_02_14.00.00_Chat,UnknownNumber,52,52,52,1.00
UnknownNumber_02_12.00.00_Chat,UnknownNumber,51,51,51,1.00
UnknownNumber_02_12.00.00_FreeChoice_16,UnknownNumber,51,51,51,1.00
UnknownNumber_02_14.00.00_FreeChoice_03,UnknownNumber,51,51,51,1.00
chapter2_end,UnknownNumber,50,50,50,1.00
chapter3_start,UnknownNumber,50,50,50,1.00
UnknownNumber_03_01.00.00_Mail,UnknownNumber,49,49,49,1.00
UnknownNumber_03_02.00.00_Chat,UnknownNumber,49,49,49,1.00
UnknownNumber_03_02.00.00_EmotionChoice_05,UnknownNumber,49,49,49,1.00
UnknownNumber_03_03.00.00_DatingChat,UnknownNumber,49,49,49,1.00
UnknownNumber_03_03.00.00_FreeChoice_11,UnknownNumber,49,49,49,1.00
UnknownNumber_03_03.00.00_FreeChoice_19,UnknownNumber,49,49,49,1.00
UnknownNumber_03_04.00.00_RW,UnknownNumber,49,49,49,1.00
UnknownNumber_03_05.00.00_Mail,UnknownNumber,47,47,47,1.00
UnknownNumber_03_06.00.00_RW,UnknownNumber,47,47,47,1.00
UnknownNumber_03_08.00.00_Chat,UnknownNumber,46,46,46,1.00
UnknownNumber_03_08.00.00_EmotionChoice_07,UnknownNumber,46,46,46,1.00
UnknownNumber_03_09.00.00_RW,UnknownNumber,46,46,46,1.00
chapter1_start,DiaryofaDominatrix,45,45,45,1.00
DiaryofaDominatrix_01_01.00.00_RW,DiaryofaDominatrix,45,45,45,1.00
UnknownNumber_03_07.00.00_Chat,UnknownNumber,45,45,45,1.00
UnknownNumber_03_10.00.00_VisualEffect,UnknownNumber,45,45,45,1.00
UnknownNumber_03_12.00.00_EmotionChoice_04,UnknownNumber,45,45,45,1.00
UnknownNumber_03_14.00.00_VisualEffect,UnknownNumber,45,45,45,1.00
UnknownNumber_03_15.00.00_FreeChoice_32,UnknownNumber,45,45,45,1.00
UnknownNumber_03_16.00.00_Chat,UnknownNumber,45,45,45,1.00
UnknownNumber_03_17.00.00_RW,UnknownNumber,45,45,45,1.00
chapter3_end,UnknownNumber,44,44,44,1.00
UnknownNumber_03_12.00.00_Chat,UnknownNumber,44,44,44,1.00
UnknownNumber_03_13.00.00_RW,UnknownNumber,44,43,44,1.00
UnknownNumber_03_18.00.00_Chat,UnknownNumber,44,44,44,1.00
UnknownNumber_03_19.00.00_RW,UnknownNumber,44,44,44,1.00
UnknownNumber_03_20.00.00_Chat,UnknownNumber,44,44,44,1.00
DiaryofaDominatrix_01_02.00.00_Chat,DiaryofaDominatrix,43,43,43,1.00
UnknownNumber_03_11.00.00_VisualEffect,UnknownNumber,43,43,43,1.00
UnknownNumber_03_15.00.00_Chat,UnknownNumber,43,43,43,1.00
chapter4_start,UnknownNumber,42,42,42,1.00
DiaryofaDominatrix_01_03.00.00_Chat,DiaryofaDominatrix,42,42,42,1.00
