# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
DiaryofaDominatrix,20,20,20,1.00
UnknownNumber,14,14,14,1.00
WolfenMoon,12,12,12,1.00
WhiteBFProblems,10,10,10,1.00
Cupido,9,9,9,1.00
FoundersKeepers,9,9,9,1.00
TattooArtist,9,8,9,1.00
LoveBites,8,8,8,1.00
TheArrangement,7,7,7,1.00
BeMineAgain,6,5,6,1.00
KillerinPhone,5,5,5,1.00
Assassin,4,4,4,1.00
BoundToHappen,4,4,4,1.00
Love&Care,4,4,4,1.00
PerfectWish,4,4,4,1.00
TwinFluencers,4,4,4,1.00
HiddenQueen,3,3,3,1.00
SpringHarbor,3,3,3,1.00
CasinoHeist,1,1,1,1.00
Heartsong,1,1,1,1.00
SanguinesBounty,1,1,1,1.00
,138,136,138,1.00

Day Index,Total Events
24/12/2019,39
25/12/2019,38
26/12/2019,19
27/12/2019,14
28/12/2019,11
29/12/2019,11
30/12/2019,3
31/12/2019,3
0,138
