# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
UnknownNumber,185,149,185,1.00
DiaryofaDominatrix,111,98,111,1.00
Cupido,101,82,101,1.00
WolfenMoon,100,77,100,1.00
TattooArtist,72,55,72,1.00
WhiteBFProblems,69,62,69,1.00
LoveBites,64,55,64,1.00
FoundersKeepers,59,52,59,1.00
Assassin,52,47,52,1.00
PerfectWish,43,36,43,1.00
TheArrangement,39,35,39,1.00
BoundToHappen,38,34,38,1.00
SanguinesBounty,36,34,36,1.00
Love&Care,34,33,34,1.00
TwinFluencers,33,29,33,1.00
Heartsong,31,28,31,1.00
HiddenQueen,30,28,30,1.00
KillerinPhone,28,22,28,1.00
BeMineAgain,23,21,23,1.00
CasinoHeist,18,18,18,1.00
SpringHarbor,17,16,17,1.00
Hemlock,15,14,15,1.00
Submetropolitan,10,8,10,1.00
",""1,208"",""1,033"",""1,208"",1.00"

Day Index,Total Events
24/12/2019,702
25/12/2019,194
26/12/2019,92
27/12/2019,80
28/12/2019,73
29/12/2019,39
30/12/2019,15
31/12/2019,13
",""1,208"""
