# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
UnknownNumber,75,75,75,1.00
DiaryofaDominatrix,45,45,45,1.00
WolfenMoon,30,30,30,1.00
LoveBites,27,27,27,1.00
TattooArtist,27,27,27,1.00
WhiteBFProblems,22,22,22,1.00
Cupido,21,21,21,1.00
FoundersKeepers,13,13,13,1.00
Assassin,12,12,12,1.00
TheArrangement,12,12,12,1.00
KillerinPhone,9,9,9,1.00
BeMineAgain,7,7,7,1.00
Heartsong,7,7,7,1.00
Love&Care,7,7,7,1.00
PerfectWish,7,7,7,1.00
BoundToHappen,6,6,6,1.00
HiddenQueen,6,6,6,1.00
TwinFluencers,6,6,6,1.00
Hemlock,3,3,3,1.00
SanguinesBounty,3,3,3,1.00
SpringHarbor,3,3,3,1.00
CasinoHeist,2,2,2,1.00
Submetropolitan,1,1,1,1.00
,351,351,351,1.00

Day Index,Total Events
24/12/2019,252
25/12/2019,40
26/12/2019,20
27/12/2019,13
28/12/2019,11
29/12/2019,8
30/12/2019,5
31/12/2019,2
0,351
