# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
UnknownNumber,94,88,94,1.00
WolfenMoon,45,41,45,1.00
TattooArtist,31,23,31,1.00
Cupido,25,20,25,1.00
DiaryofaDominatrix,25,24,25,1.00
Assassin,22,17,22,1.00
LoveBites,22,21,22,1.00
WhiteBFProblems,14,13,14,1.00
Love&Care,10,10,10,1.00
TheArrangement,9,7,9,1.00
BeMineAgain,5,4,5,1.00
BoundToHappen,5,5,5,1.00
SanguinesBounty,5,5,5,1.00
TwinFluencers,5,4,5,1.00
FoundersKeepers,4,4,4,1.00
HiddenQueen,4,4,4,1.00
KillerinPhone,4,4,4,1.00
Heartsong,3,3,3,1.00
PerfectWish,2,2,2,1.00
CasinoHeist,1,1,1,1.00
SpringHarbor,1,1,1,1.00
,336,301,336,1.00

Day Index,Total Events
24/12/2019,115
25/12/2019,99
26/12/2019,46
27/12/2019,32
28/12/2019,14
29/12/2019,14
30/12/2019,8
31/12/2019,8
0,336
